index,Salmonidae;Salmo;__,Leuciscidae;Leuciscus;__,Leuciscidae;__;__,Salmonidae;Oncorhynchus;Oncorhynchus mykiss,Leuciscidae;Rutilus;Rutilus rutilus,Cottidae;Cottus;__,Salmonidae;Salmo;Salmo trutta,Clariidae;Clarias;__,Mugilidae;Mugil;Mugil cephalus,Leuciscidae;Squalius;__,Blenniidae;Salaria;Salaria fluviatilis,Salmonidae;Salvelinus;__,Cyprinidae;__;__,Leuciscidae;Alburnus;Alburnus alburnus,Gobionidae;Pseudorasbora;Pseudorasbora parva,Nettastomatidae;Nettastoma;Nettastoma melanurum,Poeciliidae;Gambusia;__,Macrouridae;Trachyrincus;Trachyrincus murrayi,Mugilidae;Chelon;__,Anguillidae;Anguilla;__,Diodontidae;__;__,Petromyzontidae;Lampetra;__,Ariidae;Ariopsis;Ariopsis felis,Cyprinidae;Carassius;__,Siluridae;Silurus;__,Moronidae;Dicentrarchus;Dicentrarchus labrax,Leuciscidae;Acanthobrama;Acanthobrama persidis,Tetraodontidae;Lagocephalus;Lagocephalus guentheri,Percidae;Perca;Perca fluviatilis,Atherinidae;Atherina;Atherina boyeri,Ictaluridae;Ameiurus;__,Leuciscidae;Phoxinus;__,Leuciscidae;Leuciscus;Leuciscus aspius,Gobionidae;Gobio;__,Anguillidae;Anguilla;Anguilla anguilla,Istiophoridae;__;__,Leuciscidae;Squalius;Squalius cephalus,Gobiidae;Pomatoschistus;Pomatoschistus microps,Leuciscidae;Abramis;Abramis brama,Gobiidae;Pomatoschistus;__,Gobiidae;Pomatoschistus;Pomatoschistus pictus,Gobionidae;Pseudorasbora;__,Salmonidae;Oncorhynchus;__,Leuciscidae;Squalius;Squalius pyrenaicus,Siluridae;Silurus;Silurus glanis,Leuciscidae;Phoxinus;Phoxinus fayollarum,Pimelodidae;Rhamdia;Rhamdia cf. jequitinhonha NS 3056B,Engraulidae;Engraulis;Engraulis ringens,Scombridae;__;__,Gadidae;Micromesistius;Micromesistius poutassou,Clupeidae;Sardinella;Sardinella maderensis,Gobionidae;Gobio;Gobio gobio,Clupeidae;Sardinops;NA,Scyliorhinidae;Scyliorhinus;Scyliorhinus canicula
AGRI_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRI_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRI_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.0,0,0,0,0,0,0,0,0,306.0,215.0,0,0,0,43.0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0
AME_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AME_2,0,384328.0,319801.0,0,0,0,0,0,0,3457.0,0,0,0,73875.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BID_1,85060.0,7274.0,0,13114.0,0,0,0,0,0,0,0,0,0,0,0,0,1097.0,0,0,552.0,0,0,0,0,0,0,0,0,0,81.0,0,0,0,0,0,1185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BID_2,0,459045.0,86672.0,0,0,0,0,0,0,0,0,0,0,4266.0,0,0,0,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BID_B,0,12887.0,0,0,0,0,0,10269.0,7864.0,1956.0,3279.0,0,0,0,1621.0,0,0,0,1026.0,0,0,0,0,652.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BONA_1,0,315472.0,358641.0,0,0,0,0,0,0,57967.0,0,0,0,146209.0,0,0,487.0,0,0,611.0,0,0,0,0,0,0,0,0,0,102.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BONA_2,0,484745.0,439305.0,0,0,0,0,0,0,10917.0,0,0,0,164200.0,0,0,22825.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1589.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BONA_B,0,287512.0,294379.0,0,0,0,0,0,0,0,0,0,0,62486.0,0,0,652.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS_1,0,236587.0,69790.0,0,0,0,0,0,0,0,0,0,0,6437.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS_B,0,820766.0,242999.0,0,0,0,0,0,0,0,0,0,0,18900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAL_1,1364699.0,0,189125.0,0,1062632.0,0,8267.0,0,0,55523.0,0,0,237686.0,10141.0,0,0,0,0,0,0,0,56878.0,0,0,0,0,0,0,0,0,0,748.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN_2,0,12174.0,0,0,0,0,0,0,0,0,0,0,0,0,1742.0,0,5244.0,0,2740.0,0,0,0,0,0,0,0,0,0,0,0,282.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799.0,0,11123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COR_1,0,0,0,2845.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.0,0,0,0,0,0,0,0,0
FIA_1,498833.0,0,0,0,0,412570.0,0,0,0,0,0,0,0,0,0,0,887.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA_2,900061.0,0,12228.0,0,0,702159.0,0,0,0,3766.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
FIA_B,0,0,0,7527.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIU_1,0,11967.0,203637.0,0,57687.0,0,0,0,0,255549.0,220947.0,0,22896.0,6990.0,0,0,332.0,0,0,6539.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179.0,0,0,0,0,0,0,171.0,0,0,0,0,0,0,0,0,0,0
FIU_2,0,0,75267.0,0,34877.0,0,0,0,0,120792.0,201497.0,0,13651.0,0,0,0,0,0,0,20137.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIO_2,105557.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.0,0,0,0,0,0,0,0,0,0,0,0
GIO_B,0,13936.0,8622.0,6622.0,0,0,0,0,0,0,0,3341.0,0,0,0,0,281.0,0,0,0,0,0,0,0,1067.0,356.0,250.0,0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAO_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAO_2,150310.0,17339.0,59347.0,8711.0,10883.0,0,0,0,0,0,0,0,24316.0,12710.0,7828.0,0,37396.0,0,0,73087.0,0,0,0,1653.0,0,0,0,0,0,12135.0,0,0,0,0,1110.0,0,0,825.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAO_B,0,0,0,5759.0,0,0,0,0,0,0,0,0,7201.0,0,0,0,3647.0,0,1965.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LESE_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAG_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAG_2,182898.0,0,244853.0,0,0,0,9633.0,0,0,0,0,0,0,76861.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
