index,Salmonidae;Salmo;__,Leuciscidae;Leuciscus;__,Leuciscidae;__;__,Salmonidae;Oncorhynchus;Oncorhynchus mykiss,Leuciscidae;Rutilus;Rutilus rutilus,Cottidae;Cottus;__,Salmonidae;Salmo;Salmo trutta,Clariidae;Clarias;__,Mugilidae;Mugil;Mugil cephalus,Leuciscidae;Squalius;__,Blenniidae;Salaria;Salaria fluviatilis,Salmonidae;Salvelinus;__,Cyprinidae;__;__,Leuciscidae;Alburnus;Alburnus alburnus,Gobionidae;Pseudorasbora;Pseudorasbora parva,Nettastomatidae;Nettastoma;Nettastoma melanurum,Poeciliidae;Gambusia;__,Macrouridae;Trachyrincus;Trachyrincus murrayi,Mugilidae;Chelon;__,Anguillidae;Anguilla;__,Diodontidae;__;__,Petromyzontidae;Lampetra;__,Ariidae;Ariopsis;Ariopsis felis,Cyprinidae;Carassius;__,Siluridae;Silurus;__,Moronidae;Dicentrarchus;Dicentrarchus labrax,Leuciscidae;Acanthobrama;Acanthobrama persidis,Tetraodontidae;Lagocephalus;Lagocephalus guentheri,Percidae;Perca;Perca fluviatilis,Atherinidae;Atherina;Atherina boyeri,Ictaluridae;Ameiurus;__,Leuciscidae;Phoxinus;__,Leuciscidae;Leuciscus;Leuciscus aspius,Gobionidae;Gobio;__,Anguillidae;Anguilla;Anguilla anguilla,Istiophoridae;__;__,Leuciscidae;Squalius;Squalius cephalus,Gobiidae;Pomatoschistus;Pomatoschistus microps,Leuciscidae;Abramis;Abramis brama,Gobiidae;Pomatoschistus;__,Gobiidae;Pomatoschistus;Pomatoschistus pictus,Gobionidae;Pseudorasbora;__,Salmonidae;Oncorhynchus;__,Leuciscidae;Squalius;Squalius pyrenaicus,Siluridae;Silurus;Silurus glanis,Leuciscidae;Phoxinus;Phoxinus fayollarum,Pimelodidae;Rhamdia;Rhamdia cf. jequitinhonha NS 3056B,Engraulidae;Engraulis;Engraulis ringens,Scombridae;__;__,Gadidae;Micromesistius;Micromesistius poutassou,Clupeidae;Sardinella;Sardinella maderensis,Gobionidae;Gobio;Gobio gobio,Clupeidae;Sardinops;NA,Scyliorhinidae;Scyliorhinus;Scyliorhinus canicula
AGRI_1,307.0,287.0,337.0,46.0,0,165.0,0,585.0,862.0,21.0,0,0,159.0,0,55.0,28.0,36.0,7.0,41.0,0,4.0,0,0,30.0,0,0,0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRI_2,69.0,301.0,155.0,0,12.0,0,0,204.0,136.0,21.0,41.0,0,15.0,0,30.0,0,0,0,16.0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRI_B,876.0,5651.0,1058.0,525.0,83.0,0,282.0,0,0,0,0,0,558.0,632.0,0,20.0,297.0,9.0,33.0,0,10.0,0,0,95.0,0,306.0,215.0,0,0,0,43.0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0
AME_1,16150.0,2284.0,2978.0,0,9517.0,63.0,37.0,113.0,32.0,620.0,0,34.0,2195.0,19.0,0,154.0,42.0,71.0,0,61.0,321.0,561.0,34.0,0,0,0,0,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AME_2,501.0,384328.0,319801.0,0,0,0,0,0,0,3457.0,0,0,529.0,73875.0,0,2926.0,0,1126.0,0,0,15844.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC_1,1091.0,1448.0,517.0,14.0,44.0,33.0,0,737.0,537.0,110.0,118.0,0,60.0,0,90.0,105.0,19.0,39.0,87.0,13.0,158.0,0,28.0,40.0,0,0,0,68.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BID_1,85060.0,7274.0,7762.0,13114.0,2856.0,0,0,0,0,0,0,0,2537.0,1325.0,64.0,0,1097.0,0,0,552.0,0,0,0,0,0,0,0,0,0,81.0,0,0,0,0,0,1185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BID_2,7114.0,459045.0,86672.0,0,0,0,724.0,0,0,0,0,0,366.0,4266.0,0,0,0,0,0,0,482.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BID_B,1540.0,12887.0,8295.0,65.0,635.0,0,212.0,10269.0,7864.0,1956.0,3279.0,0,881.0,1774.0,1621.0,1460.0,148.0,1731.0,1026.0,366.0,720.0,0,900.0,652.0,0,0,0,287.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BONA_1,3083.0,315472.0,358641.0,0,0,480.0,0,0,0,57967.0,0,0,509.0,146209.0,0,0,487.0,0,0,611.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
