index,Salmonidae;Salmo;__,Leuciscidae;Leuciscus;__,Leuciscidae;__;__,Salmonidae;Oncorhynchus;Oncorhynchus mykiss,Leuciscidae;Rutilus;Rutilus rutilus,Cottidae;Cottus;__,Salmonidae;Salmo;Salmo trutta,Clariidae;Clarias;__,Mugilidae;Mugil;Mugil cephalus,Leuciscidae;Squalius;__,Blenniidae;Salaria;Salaria fluviatilis,Salmonidae;Salvelinus;__,Cyprinidae;__;__,Leuciscidae;Alburnus;Alburnus alburnus,Gobionidae;Pseudorasbora;Pseudorasbora parva,Nettastomatidae;Nettastoma;Nettastoma melanurum,Poeciliidae;Gambusia;__,Macrouridae;Trachyrincus;Trachyrincus murrayi,Mugilidae;Chelon;__,Anguillidae;Anguilla;__,Diodontidae;__;__,Petromyzontidae;Lampetra;__,Ariidae;Ariopsis;Ariopsis felis,Cyprinidae;Carassius;__,Siluridae;Silurus;__,Moronidae;Dicentrarchus;Dicentrarchus labrax,Leuciscidae;Acanthobrama;Acanthobrama persidis,Tetraodontidae;Lagocephalus;Lagocephalus guentheri,Percidae;Perca;Perca fluviatilis,Atherinidae;Atherina;Atherina boyeri,Ictaluridae;Ameiurus;__,Leuciscidae;Phoxinus;__,Leuciscidae;Leuciscus;Leuciscus aspius,Gobionidae;Gobio;__,Anguillidae;Anguilla;Anguilla anguilla,Istiophoridae;__;__,Leuciscidae;Squalius;Squalius cephalus,Gobiidae;Pomatoschistus;Pomatoschistus microps,Leuciscidae;Abramis;Abramis brama,Gobiidae;Pomatoschistus;__,Gobiidae;Pomatoschistus;Pomatoschistus pictus,Gobionidae;Pseudorasbora;__,Salmonidae;Oncorhynchus;__,Leuciscidae;Squalius;Squalius pyrenaicus,Siluridae;Silurus;Silurus glanis,Leuciscidae;Phoxinus;Phoxinus fayollarum,Pimelodidae;Rhamdia;Rhamdia cf. jequitinhonha NS 3056B,Engraulidae;Engraulis;Engraulis ringens,Scombridae;__;__,Gadidae;Micromesistius;Micromesistius poutassou,Clupeidae;Sardinella;Sardinella maderensis,Gobionidae;Gobio;Gobio gobio,Clupeidae;Sardinops;NA,Scyliorhinidae;Scyliorhinus;Scyliorhinus canicula
AGRI_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRI_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGRI_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,0,0,0,0,0,0,0,0,301.0,215.0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0
AME_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AME_2,0,377896.0,311504.0,0,0,0,0,0,0,2354.0,0,0,0,71337.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARC_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BID_1,52199.0,842.0,0,10631.0,0,0,0,0,0,0,0,0,0,0,0,0,842.0,0,0,86.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BID_2,0,452613.0,78375.0,0,0,0,0,0,0,0,0,0,0,1728.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BID_B,0,6455.0,0,0,0,0,0,6898.0,4383.0,853.0,2923.0,0,0,0,1043.0,0,0,0,471.0,0,0,0,0,377.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BONA_1,0,309040.0,350344.0,0,0,0,0,0,0,56864.0,0,0,0,143671.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BONA_2,0,478313.0,431008.0,0,0,0,0,0,0,9814.0,0,0,0,161662.0,0,0,22570.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BONA_B,0,281080.0,286082.0,0,0,0,0,0,0,0,0,0,0,59948.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS_1,0,230155.0,61493.0,0,0,0,0,0,0,0,0,0,0,3899.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUS_B,0,814334.0,234702.0,0,0,0,0,0,0,0,0,0,0,16362.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAL_1,1331838.0,0,180828.0,0,1052375.0,0,3137.0,0,0,54420.0,0,0,235112.0,7603.0,0,0,0,0,0,0,0,56460.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN_2,0,5742.0,0,0,0,0,0,0,0,0,0,0,0,0,1164.0,0,4989.0,0,2185.0,0,0,0,0,0,0,0,0,0,0,0,263.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.0,0,10868.0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COR_1,0,0,0,362.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.0,0,0,0,0,0,0,0,0
FIA_1,465972.0,0,0,0,0,393047.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA_2,867200.0,0,3931.0,0,0,682636.0,0,0,0,2663.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIA_B,0,0,0,5044.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIU_1,0,5535.0,195340.0,0,47430.0,0,0,0,0,254446.0,220591.0,0,20322.0,4452.0,0,0,0,0,0,6073.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIU_2,0,0,66970.0,0,24620.0,0,0,0,0,119689.0,201141.0,0,11077.0,0,0,0,0,0,0,19671.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIO_2,72696.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.0,0,0,0,0,0,0,0,0,0,0,0
GIO_B,0,7504.0,325.0,4139.0,0,0,0,0,0,0,0,1858.0,0,0,0,0,26.0,0,0,0,0,0,0,0,936.0,351.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAO_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAO_2,117449.0,10907.0,51050.0,6228.0,626.0,0,0,0,0,0,0,0,21742.0,10172.0,7250.0,0,37141.0,0,0,72621.0,0,0,0,1378.0,0,0,0,0,0,12091.0,0,0,0,0,1100.0,0,0,825.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAO_B,0,0,0,3276.0,0,0,0,0,0,0,0,0,4627.0,0,0,0,3392.0,0,1410.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LESE_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAG_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAG_2,150037.0,0,236556.0,0,0,0,4503.0,0,0,0,0,0,0,74323.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAV_2,3243.0,7223.0,44680.0,394.0,0,0,14057.0,0,0,0,0,0,3070.0,3763.0,0,0,5298.0,0,0,0,0,0,0,303.0,0,0,0,0,0,0,0,134.0,0,0,0,0,0,0,0,647.0,606.0,0,0,0,0,0,0,0,0,0,0,0,0,0
